path,sha256,bytes,source_commit,author,license,modification,release_inclusion
krita/data/gamutmasks/Atmospheric_Triad.kgm,feebdce2c2aa13531adfb8887507dc08a6840255adc9c402e70446b37c2a7ae7,25648,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/CMakeLists.txt,64839d5077c541ec9596721dc91832b8930ea203eeafc38038009a9fec7bcdbd,293,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/Complementary.kgm,b7581f6dbceda44d3a9616dd7b376107f72d8219e1cc3942c63973ea353bc3f9,26919,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/Dominant_Hue_With_Accent.kgm,6a217e1e22ad1ece1d132342dd9e94cf3a02df8b798259c9b6b7a1ca6c45da6c,27287,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/GamutMaskTemplate.kra,77f576bc9c92726954a0aa5a7a378129b74f705e33f3fa1067d4cb8cc5881fee,703966,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/Shifted_Triad.kgm,a9629b4532d529998830ed96853c30113ea52f93ab383c4f078ff52df7d5d0f2,26342,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/Split_Complementary.kgm,f7a4b3ca5edd90a0763f3d11c55c5495be6ac72ce48f5730ae80b5ea4f1aba82,28895,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/empty_mask_preview.png,d670572c54be35b009025e9db5e99deebcf404103caaa32b4e1e9b66d0161a08,22337,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/gamutmasks.qrc,f58bcbc40f77253d2fa38133b440028df56177758b18fab7702f778c2bdca881,222,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/BG-Krita2.ggr,95ac6163ff57f069057befddf05b0ab4ac3afa6f6efd0a1665d8b7e87e3041be,184,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/CMakeLists.txt,4c456812faebe753f6df3139a58701de5a64506c97ec79470790e77e18261a40,476,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-FG-Glare.ggr,60f062d112dbea7afc3fc88c854652a64008aa5b8eb7649b917f98f027e52704,356,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Fire-Blueish.ggr,43d4ab23c83d5c42d3fa5087550bacdd94965c43cf40b3ee19ff610166c595e3,467,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Fire-Burning-Cloud.ggr,42c58be0b299a8065b520a4105c2db69b1397060c9975e495897c1cd05476f53,366,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Fire-Dust-Blended.ggr,86d5516115418c87858752c33604f8a70fde59c9864b1d4779a26dc274cedcba,579,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Fire-Dust.ggr,af2702d8c8a06ce7f7948b31641ca9e2951a5a9eb931f1143b280d3d23b19d30,678,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Fire-Incandescent.ggr,12118c193b561d85d08a42bbbff1c47946f5c944b8bc6c1f4fc953efca8ee3e9,365,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Fire-Life-Span.ggr,9a325d9d4db8ffe38caf578849d3c214e86557b0b196eccba5b7eec03e589b9e,683,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Haze-and-Atmosphere.ggr,c4a35dce0d116b5f4b84c91e16681e20b9d210656ae3328d1a9b3dc901658e3a,153,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Light-Saber-_Use-FG-color_.ggr,b9913ebf0a17b9e33e3e69655dd8e65fcfc11834da2d7e4ea93fb22602286012,374,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Nature-Pure-greens.ggr,1454627b641b16d3ea7e31eca5d78285cf0da274008d290470f6f145e1695596,366,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Nature-browns-copy.ggr,6f5f28bb60e4b2eee11e557fda07d669f738a120b3f89a152948e44ea2aeeb44,1972,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Nature-random-greens.ggr,a4c2338aff5b22461488898145ea27440f78ba0edd543c89b8f5ea99cf1f6932,1546,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Nature_Grass.ggr,3853d7955ff84a4e5d056a949611480e47e823a7d64ffb1ebfd1853ff201e936,681,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Simple-Smoke.ggr,6e8a179022a3af1eb013466c4be661b8021ccef0e78d2104a3880fd767ea4759,467,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-Steel-Bars.ggr,3466a438a09757d1f8840ab49ed92a6cdc77305e234332dd061dca72d65e8208,1000,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gradients/GPS-eye-_Blue_.ggr,d3f0cca99fac52fdabf31ff69d5092d9f21247a2205b4ee7126755270b40ebd1,893,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/input/CMakeLists.txt,46f032b4873f83f6c49d06fb4b5b5573a611c42cb3c3b158ef2341c4851f8cfe,323,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/input/clipstudiopaintcompatible.profile,3493a8c8c42a70a801a72aa9aacbfe8907bffcd4c4114d01719162ab75a4664e,1415,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/input/kritadefault.profile,274358154646b811201a2377c74306b55a83fabdb6d9756f070bd431cf7fd743,1430,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
